Auto_Model,Base_Model,Category,Argument,Default_Value,Type_Hint,Description
AutoAutoformer,former,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x000002955613DF10>,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoAutoformer,former,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoAutoformer,Not Found,Error,N/A,N/A,N/A,Base model class not found
AutoBiTCN,BiTCN,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x0000029556137810>,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoBiTCN,BiTCN,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
