Auto_Model,Parameter,Base_Default,Auto_Search_Space
AutoAutoformer,batch_size,Not in Base Init,"[32, 64, 128, 256]"
AutoAutoformer,h,Not in Base Init,None
AutoAutoformer,hidden_size,Not in Base Init,"[64, 128, 256]"
AutoAutoformer,input_size_multiplier,Not in Base Init,"[1, 2, 3, 4, 5]"
AutoAutoformer,learning_rate,Not in Base Init,"Float(0.0001 ~ 0.1, LogUniform)"
AutoAutoformer,loss,Not in Base Init,None
AutoAutoformer,max_steps,Not in Base Init,"[500, 1000, 2000]"
AutoAutoformer,n_head,Not in Base Init,"[4, 8]"
AutoAutoformer,random_seed,Not in Base Init,Integer(1 ~ 20)
AutoAutoformer,scaler_type,Not in Base Init,"[None, 'robust', 'standard']"
AutoAutoformer,windows_batch_size,Not in Base Init,"[128, 256, 512, 1024]"
AutoBiTCN,batch_size,32,"[32, 64, 128, 256]"
AutoBiTCN,dropout,0.5,"Float(0.0 ~ 0.99, Uniform)"
AutoBiTCN,h,REQUIRED,None
AutoBiTCN,hidden_size,16,"[16, 32]"
AutoBiTCN,input_size_multiplier,Not in Base Init,"[1, 2, 3, 4, 5]"
AutoBiTCN,learning_rate,0.001,"Float(0.0001 ~ 0.1, LogUniform)"
AutoBiTCN,loss,MAE(),None
AutoBiTCN,max_steps,1000,"[500, 1000, 2000]"
AutoBiTCN,random_seed,1,Integer(1 ~ 20)
AutoBiTCN,scaler_type,identity,"[None, 'robust', 'standard']"
AutoBiTCN,windows_batch_size,1024,"[128, 256, 512, 1024]"
AutoDLinear,batch_size,32,"[32, 64, 128, 256]"
AutoDLinear,h,REQUIRED,None
AutoDLinear,input_size_multiplier,Not in Base Init,"[1, 2, 3, 4, 5]"
AutoDLinear,learning_rate,0.0001,"Float(0.0001 ~ 0.1, LogUniform)"
AutoDLinear,loss,MAE(),None
AutoDLinear,max_steps,5000,"Float(500 ~ 1500, Uniform)"
AutoDLinear,moving_avg_window,25,"[11, 25, 51]"
AutoDLinear,random_seed,1,Integer(1 ~ 20)
AutoDLinear,scaler_type,identity,"[None, 'robust', 'standard']"
AutoDLinear,windows_batch_size,1024,"[128, 256, 512, 1024]"
AutoDeepAR,batch_size,32,"[32, 64, 128, 256]"
AutoDeepAR,h,REQUIRED,None
AutoDeepAR,input_size_multiplier,Not in Base Init,"[1, 2, 3, 4, 5]"
AutoDeepAR,learning_rate,0.001,"Float(0.0001 ~ 0.1, LogUniform)"
AutoDeepAR,loss,DistributionLoss(),None
AutoDeepAR,lstm_dropout,0.1,"Float(0.0 ~ 0.5, Uniform)"
AutoDeepAR,lstm_hidden_size,128,"[32, 64, 128, 256]"
AutoDeepAR,lstm_n_layers,2,Integer(1 ~ 4)
AutoDeepAR,max_steps,1000,"[500, 1000, 2000]"
AutoDeepAR,random_seed,1,Integer(1 ~ 20)
AutoDeepAR,scaler_type,identity,"['robust', 'minmax1']"
AutoDeepAR,windows_batch_size,1024,"[128, 256, 512, 1024]"
AutoDeepNPTS,batch_size,32,"[32, 64, 128, 256]"
AutoDeepNPTS,dropout,0.1,"Float(0.0 ~ 0.99, Uniform)"
AutoDeepNPTS,h,REQUIRED,None
AutoDeepNPTS,hidden_size,32,"[16, 32, 64]"
AutoDeepNPTS,input_size_multiplier,Not in Base Init,"[1, 2, 3, 4, 5]"
AutoDeepNPTS,learning_rate,0.001,"Float(0.0001 ~ 0.1, LogUniform)"
AutoDeepNPTS,loss,MAE(),None
AutoDeepNPTS,max_steps,1000,"Float(500 ~ 1500, Uniform)"
AutoDeepNPTS,n_layers,2,"[1, 2, 4]"
AutoDeepNPTS,random_seed,1,Integer(1 ~ 20)
AutoDeepNPTS,scaler_type,standard,"[None, 'robust', 'standard']"
AutoDeepNPTS,windows_batch_size,1024,"[128, 256, 512, 1024]"
AutoDilatedRNN,batch_size,32,"[16, 32]"
AutoDilatedRNN,cell_type,LSTM,"['LSTM', 'GRU']"
AutoDilatedRNN,context_size,10,"[5, 10, 50]"
AutoDilatedRNN,decoder_hidden_size,128,"[16, 32, 64, 128]"
AutoDilatedRNN,dilations,"[[1, 2], [4, 8]]","[[[1, 2], [4, 8]], [[1, 2, 4, 8]]]"
AutoDilatedRNN,encoder_hidden_size,128,"[16, 32, 64, 128]"
AutoDilatedRNN,h,REQUIRED,None
AutoDilatedRNN,inference_input_size_multiplier,Not in Base Init,[-1]
AutoDilatedRNN,input_size_multiplier,Not in Base Init,"[-1, 4, 16, 64]"
AutoDilatedRNN,learning_rate,0.001,"Float(0.0001 ~ 0.1, LogUniform)"
AutoDilatedRNN,loss,MAE(),None
AutoDilatedRNN,max_steps,1000,"[500, 1000]"
AutoDilatedRNN,random_seed,1,Integer(1 ~ 20)
AutoFEDformer,batch_size,32,"[32, 64, 128, 256]"
AutoFEDformer,h,REQUIRED,None
AutoFEDformer,hidden_size,128,"[64, 128, 256]"
