cls_model,backend,search_alg,status,note
AutoAutoformer,ray,Basic,✅ OK,
AutoAutoformer,ray,Ray_OptunaSearch,✅ OK,
AutoAutoformer,ray,Ray_HyperOptSearch,✅ OK,
AutoAutoformer,ray,None,✅ OK,
AutoAutoformer,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoAutoformer,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoAutoformer,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoAutoformer,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoBiTCN,ray,Basic,✅ OK,
AutoBiTCN,ray,Ray_OptunaSearch,✅ OK,
AutoBiTCN,ray,Ray_HyperOptSearch,✅ OK,
AutoBiTCN,ray,None,✅ OK,
AutoBiTCN,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoBiTCN,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoBiTCN,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoBiTCN,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoDLinear,ray,Basic,✅ OK,
AutoDLinear,ray,Ray_OptunaSearch,✅ OK,
AutoDLinear,ray,Ray_HyperOptSearch,✅ OK,
AutoDLinear,ray,None,✅ OK,
AutoDLinear,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoDLinear,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDLinear,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDLinear,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoDeepAR,ray,Basic,✅ OK,
AutoDeepAR,ray,Ray_OptunaSearch,✅ OK,
AutoDeepAR,ray,Ray_HyperOptSearch,✅ OK,
AutoDeepAR,ray,None,✅ OK,
AutoDeepAR,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoDeepAR,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDeepAR,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDeepAR,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoDeepNPTS,ray,Basic,✅ OK,
AutoDeepNPTS,ray,Ray_OptunaSearch,✅ OK,
AutoDeepNPTS,ray,Ray_HyperOptSearch,✅ OK,
AutoDeepNPTS,ray,None,✅ OK,
AutoDeepNPTS,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoDeepNPTS,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDeepNPTS,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDeepNPTS,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoDilatedRNN,ray,Basic,✅ OK,
AutoDilatedRNN,ray,Ray_OptunaSearch,✅ OK,
AutoDilatedRNN,ray,Ray_HyperOptSearch,✅ OK,
AutoDilatedRNN,ray,None,✅ OK,
AutoDilatedRNN,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoDilatedRNN,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDilatedRNN,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoDilatedRNN,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoFEDformer,ray,Basic,✅ OK,
AutoFEDformer,ray,Ray_OptunaSearch,✅ OK,
AutoFEDformer,ray,Ray_HyperOptSearch,✅ OK,
AutoFEDformer,ray,None,✅ OK,
AutoFEDformer,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoFEDformer,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoFEDformer,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoFEDformer,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoGRU,ray,Basic,✅ OK,
AutoGRU,ray,Ray_OptunaSearch,✅ OK,
AutoGRU,ray,Ray_HyperOptSearch,✅ OK,
AutoGRU,ray,None,✅ OK,
AutoGRU,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoGRU,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoGRU,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoGRU,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoHINT,ray,Basic,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,ray,Ray_OptunaSearch,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,ray,Ray_HyperOptSearch,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,ray,None,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoHINT,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoHINT,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoHINT,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoInformer,ray,Basic,✅ OK,
AutoInformer,ray,Ray_OptunaSearch,✅ OK,
AutoInformer,ray,Ray_HyperOptSearch,✅ OK,
AutoInformer,ray,None,✅ OK,
AutoInformer,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoInformer,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoInformer,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoInformer,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoKAN,ray,Basic,✅ OK,
AutoKAN,ray,Ray_OptunaSearch,✅ OK,
AutoKAN,ray,Ray_HyperOptSearch,✅ OK,
AutoKAN,ray,None,✅ OK,
AutoKAN,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoKAN,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoKAN,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoKAN,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoLSTM,ray,Basic,✅ OK,
AutoLSTM,ray,Ray_OptunaSearch,✅ OK,
AutoLSTM,ray,Ray_HyperOptSearch,✅ OK,
AutoLSTM,ray,None,✅ OK,
AutoLSTM,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoLSTM,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoLSTM,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoLSTM,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoMLP,ray,Basic,✅ OK,
AutoMLP,ray,Ray_OptunaSearch,✅ OK,
AutoMLP,ray,Ray_HyperOptSearch,✅ OK,
AutoMLP,ray,None,✅ OK,
AutoMLP,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoMLP,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoMLP,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoMLP,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoMLPMultivariate,ray,Basic,✅ OK,
AutoMLPMultivariate,ray,Ray_OptunaSearch,✅ OK,
AutoMLPMultivariate,ray,Ray_HyperOptSearch,✅ OK,
AutoMLPMultivariate,ray,None,✅ OK,
AutoMLPMultivariate,optuna,Basic,❌ Error,'dict' object is not callable...
AutoMLPMultivariate,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoMLPMultivariate,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
