Model,Loss_Function,Status,Required_Config_Args,Error_Detail
AutoAutoformer,Accuracy,✅ OK,[],
AutoAutoformer,GMM,✅ OK,[],
AutoAutoformer,HuberIQLoss,✅ OK,[],
AutoAutoformer,HuberLoss,✅ OK,[],
AutoAutoformer,HuberMQLoss,✅ OK,[],
AutoAutoformer,IQLoss,✅ OK,[],
AutoAutoformer,MAE,✅ OK,[],
AutoAutoformer,MAPE,✅ OK,[],
AutoAutoformer,MQLoss,✅ OK,[],
AutoAutoformer,MSE,✅ OK,[],
AutoAutoformer,NBMM,✅ OK,[],
AutoAutoformer,PMM,✅ OK,[],
AutoAutoformer,QuantileLayer,✅ OK,[],
AutoAutoformer,RMSE,✅ OK,[],
AutoAutoformer,SMAPE,✅ OK,[],
AutoAutoformer,TukeyLoss,✅ OK,[],
AutoAutoformer,relMSE,✅ OK,[],
AutoAutoformer,sCRPS,✅ OK,[],
AutoBiTCN,Accuracy,✅ OK,[],
AutoBiTCN,GMM,✅ OK,[],
AutoBiTCN,HuberIQLoss,✅ OK,[],
AutoBiTCN,HuberLoss,✅ OK,[],
AutoBiTCN,HuberMQLoss,✅ OK,[],
AutoBiTCN,IQLoss,✅ OK,[],
AutoBiTCN,MAE,✅ OK,[],
AutoBiTCN,MAPE,✅ OK,[],
AutoBiTCN,MQLoss,✅ OK,[],
AutoBiTCN,MSE,✅ OK,[],
AutoBiTCN,NBMM,✅ OK,[],
AutoBiTCN,PMM,✅ OK,[],
AutoBiTCN,QuantileLayer,✅ OK,[],
AutoBiTCN,RMSE,✅ OK,[],
AutoBiTCN,SMAPE,✅ OK,[],
AutoBiTCN,TukeyLoss,✅ OK,[],
AutoBiTCN,relMSE,✅ OK,[],
AutoBiTCN,sCRPS,✅ OK,[],
AutoDLinear,Accuracy,✅ OK,[],
AutoDLinear,GMM,✅ OK,[],
AutoDLinear,HuberIQLoss,✅ OK,[],
AutoDLinear,HuberLoss,✅ OK,[],
AutoDLinear,HuberMQLoss,✅ OK,[],
AutoDLinear,IQLoss,✅ OK,[],
AutoDLinear,MAE,✅ OK,[],
AutoDLinear,MAPE,✅ OK,[],
AutoDLinear,MQLoss,✅ OK,[],
AutoDLinear,MSE,✅ OK,[],
AutoDLinear,NBMM,✅ OK,[],
AutoDLinear,PMM,✅ OK,[],
AutoDLinear,QuantileLayer,✅ OK,[],
AutoDLinear,RMSE,✅ OK,[],
AutoDLinear,SMAPE,✅ OK,[],
AutoDLinear,TukeyLoss,✅ OK,[],
AutoDLinear,relMSE,✅ OK,[],
AutoDLinear,sCRPS,✅ OK,[],
AutoDeepAR,Accuracy,✅ OK,[],
AutoDeepAR,GMM,✅ OK,[],
