cls_model,loss,is_default,status,direct_args_required,loss_args_required,config_args_suggested,error_detail
AutoAutoformer,Accuracy,,Ready,,,,
AutoAutoformer,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoAutoformer,GMM,,Ready,,,,
AutoAutoformer,HuberIQLoss,,Ready,,,,
AutoAutoformer,HuberLoss,,Ready,,,,
AutoAutoformer,HuberMQLoss,,Ready,,,,
AutoAutoformer,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoAutoformer,IQLoss,,Ready,,,,
AutoAutoformer,MAE,Yes,Ready,,,,
AutoAutoformer,MAPE,,Ready,,,,
AutoAutoformer,MASE,,Ready,,{'seasonality': 'int'},,
AutoAutoformer,MQLoss,,Ready,,,,
AutoAutoformer,MSE,,Ready,,,,
AutoAutoformer,NBMM,,Ready,,,,
AutoAutoformer,PMM,,Ready,,,,
AutoAutoformer,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoAutoformer,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoAutoformer,RMSE,,Ready,,,,
AutoAutoformer,SMAPE,,Ready,,,,
AutoAutoformer,TukeyLoss,,Ready,,,,
AutoAutoformer,relMSE,,Ready,,,,
AutoAutoformer,sCRPS,,Ready,,,,
AutoBiTCN,Accuracy,,Ready,,,,
AutoBiTCN,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoBiTCN,GMM,,Ready,,,,
AutoBiTCN,HuberIQLoss,,Ready,,,,
AutoBiTCN,HuberLoss,,Ready,,,,
AutoBiTCN,HuberMQLoss,,Ready,,,,
AutoBiTCN,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoBiTCN,IQLoss,,Ready,,,,
AutoBiTCN,MAE,Yes,Ready,,,,
AutoBiTCN,MAPE,,Ready,,,,
AutoBiTCN,MASE,,Ready,,{'seasonality': 'int'},,
AutoBiTCN,MQLoss,,Ready,,,,
AutoBiTCN,MSE,,Ready,,,,
AutoBiTCN,NBMM,,Ready,,,,
AutoBiTCN,PMM,,Ready,,,,
AutoBiTCN,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoBiTCN,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoBiTCN,RMSE,,Ready,,,,
AutoBiTCN,SMAPE,,Ready,,,,
AutoBiTCN,TukeyLoss,,Ready,,,,
AutoBiTCN,relMSE,,Ready,,,,
AutoBiTCN,sCRPS,,Ready,,,,
AutoDLinear,Accuracy,,Ready,,,,
AutoDLinear,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoDLinear,GMM,,Ready,,,,
AutoDLinear,HuberIQLoss,,Ready,,,,
AutoDLinear,HuberLoss,,Ready,,,,
AutoDLinear,HuberMQLoss,,Ready,,,,
AutoDLinear,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoDLinear,IQLoss,,Ready,,,,
AutoDLinear,MAE,Yes,Ready,,,,
AutoDLinear,MAPE,,Ready,,,,
AutoDLinear,MASE,,Ready,,{'seasonality': 'int'},,
AutoDLinear,MQLoss,,Ready,,,,
AutoDLinear,MSE,,Ready,,,,
AutoDLinear,NBMM,,Ready,,,,
AutoDLinear,PMM,,Ready,,,,
AutoDLinear,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoDLinear,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoDLinear,RMSE,,Ready,,,,
AutoDLinear,SMAPE,,Ready,,,,
AutoDLinear,TukeyLoss,,Ready,,,,
AutoDLinear,relMSE,,Ready,,,,
AutoDLinear,sCRPS,,Ready,,,,
AutoDeepAR,Accuracy,,Ready,,,,
AutoDeepAR,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoDeepAR,GMM,,Ready,,,,
AutoDeepAR,HuberIQLoss,,Ready,,,,
AutoDeepAR,HuberLoss,,Ready,,,,
AutoDeepAR,HuberMQLoss,,Ready,,,,
AutoDeepAR,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoDeepAR,IQLoss,,Ready,,,,
AutoDeepAR,MAE,Yes,Ready,,,,
AutoDeepAR,MAPE,,Ready,,,,
AutoDeepAR,MASE,,Ready,,{'seasonality': 'int'},,
AutoDeepAR,MQLoss,,Ready,,,,
AutoDeepAR,MSE,,Ready,,,,
AutoDeepAR,NBMM,,Ready,,,,
AutoDeepAR,PMM,,Ready,,,,
AutoDeepAR,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoDeepAR,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoDeepAR,RMSE,,Ready,,,,
AutoDeepAR,SMAPE,,Ready,,,,
AutoDeepAR,TukeyLoss,,Ready,,,,
AutoDeepAR,relMSE,,Ready,,,,
AutoDeepAR,sCRPS,,Ready,,,,
AutoDeepNPTS,Accuracy,,Ready,,,,
AutoDeepNPTS,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoDeepNPTS,GMM,,Ready,,,,
AutoDeepNPTS,HuberIQLoss,,Ready,,,,
AutoDeepNPTS,HuberLoss,,Ready,,,,
AutoDeepNPTS,HuberMQLoss,,Ready,,,,
AutoDeepNPTS,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoDeepNPTS,IQLoss,,Ready,,,,
AutoDeepNPTS,MAE,Yes,Ready,,,,
AutoDeepNPTS,MAPE,,Ready,,,,
AutoDeepNPTS,MASE,,Ready,,{'seasonality': 'int'},,
AutoDeepNPTS,MQLoss,,Ready,,,,
AutoDeepNPTS,MSE,,Ready,,,,
AutoDeepNPTS,NBMM,,Ready,,,,
AutoDeepNPTS,PMM,,Ready,,,,
AutoDeepNPTS,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoDeepNPTS,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoDeepNPTS,RMSE,,Ready,,,,
AutoDeepNPTS,SMAPE,,Ready,,,,
AutoDeepNPTS,TukeyLoss,,Ready,,,,
AutoDeepNPTS,relMSE,,Ready,,,,
AutoDeepNPTS,sCRPS,,Ready,,,,
AutoDilatedRNN,Accuracy,,Ready,,,,
AutoDilatedRNN,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoDilatedRNN,GMM,,Ready,,,,
AutoDilatedRNN,HuberIQLoss,,Ready,,,,
AutoDilatedRNN,HuberLoss,,Ready,,,,
AutoDilatedRNN,HuberMQLoss,,Ready,,,,
AutoDilatedRNN,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoDilatedRNN,IQLoss,,Ready,,,,
AutoDilatedRNN,MAE,Yes,Ready,,,,
AutoDilatedRNN,MAPE,,Ready,,,,
AutoDilatedRNN,MASE,,Ready,,{'seasonality': 'int'},,
AutoDilatedRNN,MQLoss,,Ready,,,,
AutoDilatedRNN,MSE,,Ready,,,,
AutoDilatedRNN,NBMM,,Ready,,,,
AutoDilatedRNN,PMM,,Ready,,,,
AutoDilatedRNN,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoDilatedRNN,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoDilatedRNN,RMSE,,Ready,,,,
AutoDilatedRNN,SMAPE,,Ready,,,,
AutoDilatedRNN,TukeyLoss,,Ready,,,,
AutoDilatedRNN,relMSE,,Ready,,,,
AutoDilatedRNN,sCRPS,,Ready,,,,
AutoFEDformer,Accuracy,,Ready,,,,
AutoFEDformer,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoFEDformer,GMM,,Ready,,,,
AutoFEDformer,HuberIQLoss,,Ready,,,,
AutoFEDformer,HuberLoss,,Ready,,,,
AutoFEDformer,HuberMQLoss,,Ready,,,,
AutoFEDformer,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoFEDformer,IQLoss,,Ready,,,,
AutoFEDformer,MAE,Yes,Ready,,,,
AutoFEDformer,MAPE,,Ready,,,,
AutoFEDformer,MASE,,Ready,,{'seasonality': 'int'},,
AutoFEDformer,MQLoss,,Ready,,,,
AutoFEDformer,MSE,,Ready,,,,
AutoFEDformer,NBMM,,Ready,,,,
AutoFEDformer,PMM,,Ready,,,,
AutoFEDformer,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoFEDformer,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoFEDformer,RMSE,,Ready,,,,
AutoFEDformer,SMAPE,,Ready,,,,
AutoFEDformer,TukeyLoss,,Ready,,,,
AutoFEDformer,relMSE,,Ready,,,,
AutoFEDformer,sCRPS,,Ready,,,,
AutoGRU,Accuracy,,Ready,,,,
AutoGRU,DistributionLoss,,Ready,,"{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,
AutoGRU,GMM,,Ready,,,,
AutoGRU,HuberIQLoss,,Ready,,,,
AutoGRU,HuberLoss,,Ready,,,,
AutoGRU,HuberMQLoss,,Ready,,,,
AutoGRU,HuberQLoss,,Ready,,{'q': 'Any'},,
AutoGRU,IQLoss,,Ready,,,,
AutoGRU,MAE,Yes,Ready,,,,
AutoGRU,MAPE,,Ready,,,,
AutoGRU,MASE,,Ready,,{'seasonality': 'int'},,
AutoGRU,MQLoss,,Ready,,,,
AutoGRU,MSE,,Ready,,,,
AutoGRU,NBMM,,Ready,,,,
AutoGRU,PMM,,Ready,,,,
AutoGRU,QuantileLayer,,Ready,,{'num_output': 'int'},,
AutoGRU,QuantileLoss,,Ready,,{'q': 'Any'},,
AutoGRU,RMSE,,Ready,,,,
AutoGRU,SMAPE,,Ready,,,,
AutoGRU,TukeyLoss,,Ready,,,,
AutoGRU,relMSE,,Ready,,,,
AutoGRU,sCRPS,,Ready,,,,
AutoHINT,Accuracy,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,DistributionLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}","{'distribution': 'Any', 'distribution_kwargs': 'Any'}",,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,GMM,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,HuberIQLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,HuberLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,HuberMQLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,HuberQLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}",{'q': 'Any'},,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,IQLoss,,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
AutoHINT,MAE,Yes,Error,"{'cls_model': 'Any', 'S': 'Any'}",,,'NoneType' object has no attribute 'EXOGENOUS_FUTR'
