cls_model,backend,search_alg,status,error_detail
AutoAutoformer,ray,None,OK,
AutoAutoformer,ray,Basic,OK,
AutoAutoformer,ray,Ray_Optuna,OK,
AutoAutoformer,ray,Ray_HyperOpt,OK,
AutoAutoformer,optuna,None,Error,Optuna Backend Requirement Error
AutoAutoformer,optuna,Basic,Error,Optuna Backend Requirement Error
AutoAutoformer,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoAutoformer,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoBiTCN,ray,None,OK,
AutoBiTCN,ray,Basic,OK,
AutoBiTCN,ray,Ray_Optuna,OK,
AutoBiTCN,ray,Ray_HyperOpt,OK,
AutoBiTCN,optuna,None,Error,Optuna Backend Requirement Error
AutoBiTCN,optuna,Basic,Error,Optuna Backend Requirement Error
AutoBiTCN,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoBiTCN,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoDLinear,ray,None,OK,
AutoDLinear,ray,Basic,OK,
AutoDLinear,ray,Ray_Optuna,OK,
AutoDLinear,ray,Ray_HyperOpt,OK,
AutoDLinear,optuna,None,Error,Optuna Backend Requirement Error
AutoDLinear,optuna,Basic,Error,Optuna Backend Requirement Error
AutoDLinear,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoDLinear,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoDeepAR,ray,None,OK,
AutoDeepAR,ray,Basic,OK,
AutoDeepAR,ray,Ray_Optuna,OK,
AutoDeepAR,ray,Ray_HyperOpt,OK,
AutoDeepAR,optuna,None,Error,Optuna Backend Requirement Error
AutoDeepAR,optuna,Basic,Error,Optuna Backend Requirement Error
AutoDeepAR,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoDeepAR,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoDeepNPTS,ray,None,OK,
AutoDeepNPTS,ray,Basic,OK,
AutoDeepNPTS,ray,Ray_Optuna,OK,
AutoDeepNPTS,ray,Ray_HyperOpt,OK,
AutoDeepNPTS,optuna,None,Error,Optuna Backend Requirement Error
AutoDeepNPTS,optuna,Basic,Error,Optuna Backend Requirement Error
AutoDeepNPTS,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoDeepNPTS,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoDilatedRNN,ray,None,OK,
AutoDilatedRNN,ray,Basic,OK,
AutoDilatedRNN,ray,Ray_Optuna,OK,
AutoDilatedRNN,ray,Ray_HyperOpt,OK,
AutoDilatedRNN,optuna,None,Error,Optuna Backend Requirement Error
AutoDilatedRNN,optuna,Basic,Error,Optuna Backend Requirement Error
AutoDilatedRNN,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoDilatedRNN,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoFEDformer,ray,None,OK,
AutoFEDformer,ray,Basic,OK,
AutoFEDformer,ray,Ray_Optuna,OK,
AutoFEDformer,ray,Ray_HyperOpt,OK,
AutoFEDformer,optuna,None,Error,Optuna Backend Requirement Error
AutoFEDformer,optuna,Basic,Error,Optuna Backend Requirement Error
AutoFEDformer,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoFEDformer,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoGRU,ray,None,OK,
AutoGRU,ray,Basic,OK,
AutoGRU,ray,Ray_Optuna,OK,
AutoGRU,ray,Ray_HyperOpt,OK,
AutoGRU,optuna,None,Error,Optuna Backend Requirement Error
AutoGRU,optuna,Basic,Error,Optuna Backend Requirement Error
AutoGRU,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
