Model,Loss_Function,Status,Direct_Args_Used,Error_Detail
AutoAutoformer,Accuracy,✅ OK,[],
AutoAutoformer,GMM,✅ OK,[],
AutoAutoformer,HuberIQLoss,✅ OK,[],
AutoAutoformer,HuberLoss,✅ OK,[],
AutoAutoformer,HuberMQLoss,✅ OK,[],
AutoAutoformer,HuberQLoss,✅ OK,[],
AutoAutoformer,IQLoss,✅ OK,[],
AutoAutoformer,MAE,✅ OK,[],
AutoAutoformer,MAPE,✅ OK,[],
AutoAutoformer,MQLoss,✅ OK,[],
AutoAutoformer,MSE,✅ OK,[],
AutoAutoformer,NBMM,✅ OK,[],
AutoAutoformer,PMM,✅ OK,[],
AutoAutoformer,QuantileLayer,✅ OK,[],
AutoAutoformer,QuantileLoss,✅ OK,[],
AutoAutoformer,RMSE,✅ OK,[],
AutoAutoformer,SMAPE,✅ OK,[],
AutoAutoformer,TukeyLoss,✅ OK,[],
AutoAutoformer,relMSE,✅ OK,[],
AutoAutoformer,sCRPS,✅ OK,[],
AutoBiTCN,Accuracy,✅ OK,[],
AutoBiTCN,GMM,✅ OK,[],
AutoBiTCN,HuberIQLoss,✅ OK,[],
AutoBiTCN,HuberLoss,✅ OK,[],
AutoBiTCN,HuberMQLoss,✅ OK,[],
AutoBiTCN,HuberQLoss,✅ OK,[],
AutoBiTCN,IQLoss,✅ OK,[],
AutoBiTCN,MAE,✅ OK,[],
AutoBiTCN,MAPE,✅ OK,[],
AutoBiTCN,MQLoss,✅ OK,[],
AutoBiTCN,MSE,✅ OK,[],
AutoBiTCN,NBMM,✅ OK,[],
AutoBiTCN,PMM,✅ OK,[],
AutoBiTCN,QuantileLayer,✅ OK,[],
AutoBiTCN,QuantileLoss,✅ OK,[],
AutoBiTCN,RMSE,✅ OK,[],
AutoBiTCN,SMAPE,✅ OK,[],
AutoBiTCN,TukeyLoss,✅ OK,[],
AutoBiTCN,relMSE,✅ OK,[],
AutoBiTCN,sCRPS,✅ OK,[],
AutoDLinear,Accuracy,✅ OK,[],
AutoDLinear,GMM,✅ OK,[],
AutoDLinear,HuberIQLoss,✅ OK,[],
AutoDLinear,HuberLoss,✅ OK,[],
AutoDLinear,HuberMQLoss,✅ OK,[],
AutoDLinear,HuberQLoss,✅ OK,[],
AutoDLinear,IQLoss,✅ OK,[],
AutoDLinear,MAE,✅ OK,[],
AutoDLinear,MAPE,✅ OK,[],
AutoDLinear,MQLoss,✅ OK,[],
AutoDLinear,MSE,✅ OK,[],
AutoDLinear,NBMM,✅ OK,[],
AutoDLinear,PMM,✅ OK,[],
AutoDLinear,QuantileLayer,✅ OK,[],
AutoDLinear,QuantileLoss,✅ OK,[],
AutoDLinear,RMSE,✅ OK,[],
