Model,Loss,Status,Note
AutoAutoformer,MAE,✅,
AutoAutoformer,MSE,✅,
AutoAutoformer,Huber,✅,
AutoAutoformer,MQLoss,✅,
AutoAutoformer,Dist_Norm,✅,
AutoAutoformer,GMM,✅,
AutoBiTCN,MAE,✅,
AutoBiTCN,MSE,✅,
AutoBiTCN,Huber,✅,
AutoBiTCN,MQLoss,✅,
AutoBiTCN,Dist_Norm,✅,
AutoBiTCN,GMM,✅,
AutoDLinear,MAE,✅,
AutoDLinear,MSE,✅,
AutoDLinear,Huber,✅,
AutoDLinear,MQLoss,✅,
AutoDLinear,Dist_Norm,✅,
AutoDLinear,GMM,✅,
AutoDeepAR,MAE,✅,
AutoDeepAR,MSE,✅,
AutoDeepAR,Huber,✅,
AutoDeepAR,MQLoss,✅,
AutoDeepAR,Dist_Norm,✅,
AutoDeepAR,GMM,✅,
AutoDeepNPTS,MAE,✅,
AutoDeepNPTS,MSE,✅,
AutoDeepNPTS,Huber,✅,
AutoDeepNPTS,MQLoss,✅,
AutoDeepNPTS,Dist_Norm,✅,
AutoDeepNPTS,GMM,✅,
AutoDilatedRNN,MAE,✅,
AutoDilatedRNN,MSE,✅,
AutoDilatedRNN,Huber,✅,
AutoDilatedRNN,MQLoss,✅,
AutoDilatedRNN,Dist_Norm,✅,
AutoDilatedRNN,GMM,✅,
AutoFEDformer,MAE,✅,
AutoFEDformer,MSE,✅,
AutoFEDformer,Huber,✅,
AutoFEDformer,MQLoss,✅,
AutoFEDformer,Dist_Norm,✅,
AutoFEDformer,GMM,✅,
AutoGRU,MAE,✅,
AutoGRU,MSE,✅,
AutoGRU,Huber,✅,
AutoGRU,MQLoss,✅,
AutoGRU,Dist_Norm,✅,
AutoGRU,GMM,✅,
AutoHINT,MAE,❌,AutoHINT.__init__() missing 3 required p...
AutoHINT,MSE,❌,AutoHINT.__init__() missing 3 required p...
AutoHINT,Huber,❌,AutoHINT.__init__() missing 3 required p...
AutoHINT,MQLoss,❌,AutoHINT.__init__() missing 3 required p...
