cls_model,loss,loss_category,backend,status,constraint_min_h,arg_h_example,arg_direct_example,arg_loss_init_example,arg_config_keys,compatible_search_algs
AutoAutoformer,Accuracy,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},Accuracy(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,DistributionLoss,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},"DistributionLoss({'distribution': ""'Normal'"", 'distribution_kwargs': 1})","['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,GMM,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},GMM(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,HuberIQLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberIQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,HuberLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,HuberMQLoss,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberMQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,HuberQLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberQLoss({'q': 0.5}),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,IQLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},IQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,MAE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},MAE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,MAPE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},MAPE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,MASE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},MASE({'seasonality': 1}),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,MQLoss,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},MQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,MSE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},MSE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,NBMM,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},NBMM(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,PMM,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},PMM(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,QuantileLayer,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},QuantileLayer({'num_output': 1}),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,QuantileLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},QuantileLoss({'q': 0.5}),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,RMSE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},RMSE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,SMAPE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},SMAPE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,TukeyLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},TukeyLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,relMSE,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},relMSE(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoAutoformer,sCRPS,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},sCRPS(),"['input_size_multiplier', 'h', 'hidden_size', 'n_head', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,Accuracy,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},Accuracy(),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,DistributionLoss,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},"DistributionLoss({'distribution': ""'Normal'"", 'distribution_kwargs': 1})","['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,GMM,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},GMM(),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,HuberIQLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberIQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,HuberLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,HuberMQLoss,Probabilistic,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberMQLoss(),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
AutoBiTCN,HuberQLoss,Point,ray,Ready,1,24,{'valid_loss': 'MAE()'},HuberQLoss({'q': 0.5}),"['input_size_multiplier', 'h', 'hidden_size', 'dropout', 'learning_rate']...","['Basic', 'Optuna', 'HyperOpt']"
