model_name,backend,search_alg,loss,status,error_type,error_msg,req_args_json,min_h
AutoAutoformer,ray,None,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,MSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,NBMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,PMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,QuantileLayer,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,QuantileLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,RMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,SMAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,TukeyLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,relMSE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,None,sCRPS,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,Accuracy,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,DistributionLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,GMM,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,HuberIQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,HuberLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,HuberMQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,HuberQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,IQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,MAE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,MAPE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,MASE,1,Ready,,"{""valid_loss"": ""MAE()""}",1
AutoAutoformer,ray,Basic,MQLoss,1,Ready,,"{""valid_loss"": ""MAE()""}",1
