Model_Class,Target_Loss,Status,Recommended_Backend,Supported_Search_Algs,Min_H_Constraint,Required_Direct_Args,Recommended_Config,Loss_Init_Snippet,Notes
AutoAutoformer,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoAutoformer,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoAutoformer,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoAutoformer,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoAutoformer,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoAutoformer,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoAutoformer,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoAutoformer,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoAutoformer,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoAutoformer,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoAutoformer,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
