full_path,Object_Name,Type,Summary,Arguments_List,Num_Arguments
neuralforecast.auto.AutoAutoformer,AutoAutoformer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoBiTCN,AutoBiTCN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoDLinear,AutoDLinear,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoDeepAR,AutoDeepAR,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoDeepNPTS,AutoDeepNPTS,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoDilatedRNN,AutoDilatedRNN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoFEDformer,AutoFEDformer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoGRU,AutoGRU,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoHINT,AutoHINT,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","S, alias, backend, callbacks, cls_model, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",15
neuralforecast.auto.AutoInformer,AutoInformer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoKAN,AutoKAN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoLSTM,AutoLSTM,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoMLP,AutoMLP,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoMLPMultivariate,AutoMLPMultivariate,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoNBEATS,AutoNBEATS,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoNBEATSx,AutoNBEATSx,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoNHITS,AutoNHITS,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoNLinear,AutoNLinear,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoPatchTST,AutoPatchTST,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoRMoK,AutoRMoK,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoRNN,AutoRNN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoSOFTS,AutoSOFTS,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoStemGNN,AutoStemGNN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoTCN,AutoTCN,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoTFT,AutoTFT,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoTSMixer,AutoTSMixer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoTSMixerx,AutoTSMixerx,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoTiDE,AutoTiDE,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoTimeMixer,AutoTimeMixer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoTimeXer,AutoTimeXer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoTimesNet,AutoTimesNet,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoVanillaTransformer,AutoVanillaTransformer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.auto.AutoiTransformer,AutoiTransformer,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, n_series, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.auto.AutoxLSTM,AutoxLSTM,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",13
neuralforecast.common._base_auto.BaseAuto,BaseAuto,class,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to","alias, backend, callbacks, cls_model, config, cpus, gpus, h, loss, num_samples, refit_with_val, search_alg, valid_loss, verbose",14
neuralforecast.common._base_auto.MockTrial,MockTrial,class,,"args, kwargs",2
neuralforecast.common._base_model.BaseModel,BaseModel,class,Hooks to be used in LightningModule.,"alias, batch_size, dataloader_kwargs, drop_last_loader, early_stop_patience_steps, exclude_insample_y, futr_exog_list, h, h_train, hist_exog_list, inference_input_size, inference_windows_batch_size, input_size, learning_rate, loss, lr_scheduler, lr_scheduler_kwargs, max_steps, n_samples, n_series, num_lr_decays, optimizer, optimizer_kwargs, random_seed, scaler_type, start_padding_enabled, stat_exog_list, step_size, trainer_kwargs, training_data_availability_threshold, val_check_steps, valid_batch_size, valid_loss, windows_batch_size",34
neuralforecast.common._base_model.DistributedConfig,DistributedConfig,class,"DistributedConfig(partitions_path: str, num_nodes: int, devices: int)","devices, num_nodes, partitions_path",3
neuralforecast.common._base_model.tensor_to_numpy,tensor_to_numpy,function,Convert a tensor to numpy,tensor,1
neuralforecast.common._model_checks.check_airpassengers,check_airpassengers,function,,model_class,1
neuralforecast.common._model_checks.check_loss_functions,check_loss_functions,function,,model_class,1
neuralforecast.common._model_checks.check_model,check_model,function,Check model with various tests. Options for checks are:,"checks, model_class",2
neuralforecast.common._modules.AttentionLayer,AttentionLayer,class,Base class for all neural network modules.,"attention, d_keys, d_values, hidden_size, n_heads",5
neuralforecast.common._modules.CausalConv1d,CausalConv1d,class,Causal Convolution 1d,"activation, dilation, in_channels, kernel_size, out_channels, padding, stride",7
neuralforecast.common._modules.Chomp1d,Chomp1d,class,Chomp1d,horizon,1
neuralforecast.common._modules.DataEmbedding,DataEmbedding,class,Base class for all neural network modules.,"c_in, dropout, exog_input_size, hidden_size, pos_embedding",5
neuralforecast.common._modules.DataEmbedding_inverted,DataEmbedding_inverted,class,DataEmbedding_inverted,"c_in, dropout, hidden_size",3
neuralforecast.common._modules.FixedEmbedding,FixedEmbedding,class,Base class for all neural network modules.,"c_in, d_model",2
neuralforecast.common._modules.FullAttention,FullAttention,class,Base class for all neural network modules.,"attention_dropout, factor, mask_flag, output_attention, scale",5
neuralforecast.common._modules.MLP,MLP,class,Multi-Layer Perceptron Class,"activation, dropout, hidden_size, in_features, num_layers, out_features",6
neuralforecast.common._modules.MovingAvg,MovingAvg,class,Moving average block to highlight the trend of time series,"kernel_size, stride",2
neuralforecast.common._modules.PositionalEmbedding,PositionalEmbedding,class,Base class for all neural network modules.,"hidden_size, max_len",2
neuralforecast.common._modules.RevIN,RevIN,class,RevIN (Reversible-Instance-Normalization),"affine, eps, non_norm, num_features, subtract_last",5
neuralforecast.common._modules.RevINMultivariate,RevINMultivariate,class,ReversibleInstanceNorm1d for Multivariate models,"affine, eps, non_norm, num_features, subtract_last",5
neuralforecast.common._modules.SeriesDecomp,SeriesDecomp,class,Series decomposition block,kernel_size,1
neuralforecast.common._modules.TemporalConvolutionEncoder,TemporalConvolutionEncoder,class,Temporal Convolution Encoder,"activation, dilations, in_channels, kernel_size, out_channels",5
neuralforecast.common._modules.TemporalEmbedding,TemporalEmbedding,class,Base class for all neural network modules.,"d_model, embed_type, freq",3
neuralforecast.common._modules.TimeFeatureEmbedding,TimeFeatureEmbedding,class,Base class for all neural network modules.,"hidden_size, input_size",2
neuralforecast.common._modules.TokenEmbedding,TokenEmbedding,class,Base class for all neural network modules.,"c_in, hidden_size",2
neuralforecast.common._modules.TransDecoder,TransDecoder,class,Base class for all neural network modules.,"layers, norm_layer, projection",3
neuralforecast.common._modules.TransDecoderLayer,TransDecoderLayer,class,Base class for all neural network modules.,"activation, conv_hidden_size, cross_attention, dropout, hidden_size, self_attention",6
neuralforecast.common._modules.TransEncoder,TransEncoder,class,Base class for all neural network modules.,"attn_layers, conv_layers, norm_layer",3
neuralforecast.common._modules.TransEncoderLayer,TransEncoderLayer,class,Base class for all neural network modules.,"activation, attention, conv_hidden_size, dropout, hidden_size",5
neuralforecast.common._modules.TriangularCausalMask,TriangularCausalMask,class,TriangularCausalMask,"B, L, device",3
neuralforecast.common._scalers.TemporalNorm,TemporalNorm,class,Temporal Normalization,"dim, eps, num_features, scaler_type",4
neuralforecast.common._scalers.identity_scaler,identity_scaler,function,,"x, x_scale, x_shift",3
