Model,Loss_Function,Status,Note
AutoRNN,MAE,✅ OK,
AutoRNN,MSE,✅ OK,
AutoRNN,MQLoss,✅ OK,
AutoRNN,DistributionLoss,✅ OK,
AutoRNN,GMM,✅ OK,
AutoRNN,HuberLoss,✅ OK,
AutoLSTM,MAE,✅ OK,
AutoLSTM,MSE,✅ OK,
AutoLSTM,MQLoss,✅ OK,
AutoLSTM,DistributionLoss,✅ OK,
AutoLSTM,GMM,✅ OK,
AutoLSTM,HuberLoss,✅ OK,
AutoMLP,MAE,✅ OK,
AutoMLP,MSE,✅ OK,
AutoMLP,MQLoss,✅ OK,
AutoMLP,DistributionLoss,✅ OK,
AutoMLP,GMM,✅ OK,
AutoMLP,HuberLoss,✅ OK,
AutoNBEATS,MAE,✅ OK,
AutoNBEATS,MSE,✅ OK,
AutoNBEATS,MQLoss,✅ OK,
AutoNBEATS,DistributionLoss,✅ OK,
AutoNBEATS,GMM,✅ OK,
AutoNBEATS,HuberLoss,✅ OK,
AutoNHITS,MAE,✅ OK,
AutoNHITS,MSE,✅ OK,
AutoNHITS,MQLoss,✅ OK,
AutoNHITS,DistributionLoss,✅ OK,
AutoNHITS,GMM,✅ OK,
AutoNHITS,HuberLoss,✅ OK,
AutoTFT,MAE,✅ OK,
AutoTFT,MSE,✅ OK,
AutoTFT,MQLoss,✅ OK,
AutoTFT,DistributionLoss,✅ OK,
AutoTFT,GMM,✅ OK,
AutoTFT,HuberLoss,✅ OK,
AutoPatchTST,MAE,✅ OK,
AutoPatchTST,MSE,✅ OK,
AutoPatchTST,MQLoss,✅ OK,
AutoPatchTST,DistributionLoss,✅ OK,
AutoPatchTST,GMM,✅ OK,
AutoPatchTST,HuberLoss,✅ OK,
AutoTimeXer,MAE,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
AutoTimeXer,MSE,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
AutoTimeXer,MQLoss,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
AutoTimeXer,DistributionLoss,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
AutoTimeXer,GMM,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
AutoTimeXer,HuberLoss,❌ Error,AutoTimeXer.__init__() missing 1 required positional argument: 'n_series'
