cls_model,loss,is_default,status,req_arg_n_series,req_arg_S,req_arg_input_size,other_req_args,loss_arg_level,loss_arg_quantiles,loss_arg_distribution,loss_arg_q,config_patch_len,config_n_series,error_detail
AutoAutoformer,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoAutoformer,GMM,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,HuberLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,HuberMQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,HuberQLoss,0,1,0,0,0,,0,0,0,1,,,
AutoAutoformer,IQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,MAE,1,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,MAPE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,MASE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,MQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,MSE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,NBMM,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,PMM,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,QuantileLayer,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,QuantileLoss,0,1,0,0,0,,0,0,0,1,,,
AutoAutoformer,RMSE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,SMAPE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,TukeyLoss,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,relMSE,0,1,0,0,0,,0,0,0,0,,,
AutoAutoformer,sCRPS,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoBiTCN,GMM,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,HuberLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,HuberMQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,HuberQLoss,0,1,0,0,0,,0,0,0,1,,,
AutoBiTCN,IQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,MAE,1,1,0,0,0,,0,0,0,0,,,
