Model,Search_Alg,Status,Note
AutoAutoformer,Basic (Default),✅ OK,
AutoAutoformer,Optuna,✅ OK,
AutoAutoformer,HyperOpt,✅ OK,
AutoBiTCN,Basic (Default),✅ OK,
AutoBiTCN,Optuna,✅ OK,
AutoBiTCN,HyperOpt,✅ OK,
AutoDLinear,Basic (Default),✅ OK,
AutoDLinear,Optuna,✅ OK,
AutoDLinear,HyperOpt,✅ OK,
AutoDeepAR,Basic (Default),✅ OK,
AutoDeepAR,Optuna,✅ OK,
AutoDeepAR,HyperOpt,✅ OK,
AutoDeepNPTS,Basic (Default),✅ OK,
AutoDeepNPTS,Optuna,✅ OK,
AutoDeepNPTS,HyperOpt,✅ OK,
AutoDilatedRNN,Basic (Default),✅ OK,
AutoDilatedRNN,Optuna,✅ OK,
AutoDilatedRNN,HyperOpt,✅ OK,
AutoFEDformer,Basic (Default),✅ OK,
AutoFEDformer,Optuna,✅ OK,
AutoFEDformer,HyperOpt,✅ OK,
AutoGRU,Basic (Default),✅ OK,
AutoGRU,Optuna,✅ OK,
AutoGRU,HyperOpt,✅ OK,
AutoHINT,Basic (Default),❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,Optuna,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoHINT,HyperOpt,❌ Error,'NoneType' object has no attribute 'EXOGENOUS_FUTR...
AutoInformer,Basic (Default),✅ OK,
AutoInformer,Optuna,✅ OK,
AutoInformer,HyperOpt,✅ OK,
AutoKAN,Basic (Default),✅ OK,
AutoKAN,Optuna,✅ OK,
AutoKAN,HyperOpt,✅ OK,
AutoLSTM,Basic (Default),✅ OK,
AutoLSTM,Optuna,✅ OK,
AutoLSTM,HyperOpt,✅ OK,
AutoMLP,Basic (Default),✅ OK,
AutoMLP,Optuna,✅ OK,
AutoMLP,HyperOpt,✅ OK,
AutoMLPMultivariate,Basic (Default),✅ OK,
AutoMLPMultivariate,Optuna,✅ OK,
AutoMLPMultivariate,HyperOpt,✅ OK,
AutoNBEATS,Basic (Default),✅ OK,
AutoNBEATS,Optuna,✅ OK,
AutoNBEATS,HyperOpt,✅ OK,
AutoNBEATSx,Basic (Default),✅ OK,
AutoNBEATSx,Optuna,✅ OK,
AutoNBEATSx,HyperOpt,✅ OK,
AutoNHITS,Basic (Default),✅ OK,
AutoNHITS,Optuna,✅ OK,
AutoNHITS,HyperOpt,✅ OK,
AutoNLinear,Basic (Default),✅ OK,
AutoNLinear,Optuna,✅ OK,
AutoNLinear,HyperOpt,✅ OK,
AutoPatchTST,Basic (Default),✅ OK,
AutoPatchTST,Optuna,✅ OK,
AutoPatchTST,HyperOpt,✅ OK,
AutoRMoK,Basic (Default),✅ OK,
AutoRMoK,Optuna,✅ OK,
AutoRMoK,HyperOpt,✅ OK,
AutoRNN,Basic (Default),✅ OK,
AutoRNN,Optuna,✅ OK,
AutoRNN,HyperOpt,✅ OK,
AutoSOFTS,Basic (Default),✅ OK,
AutoSOFTS,Optuna,✅ OK,
AutoSOFTS,HyperOpt,✅ OK,
AutoStemGNN,Basic (Default),✅ OK,
AutoStemGNN,Optuna,✅ OK,
AutoStemGNN,HyperOpt,✅ OK,
AutoTCN,Basic (Default),✅ OK,
AutoTCN,Optuna,✅ OK,
AutoTCN,HyperOpt,✅ OK,
AutoTFT,Basic (Default),✅ OK,
AutoTFT,Optuna,✅ OK,
AutoTFT,HyperOpt,✅ OK,
AutoTSMixer,Basic (Default),✅ OK,
AutoTSMixer,Optuna,✅ OK,
AutoTSMixer,HyperOpt,✅ OK,
AutoTSMixerx,Basic (Default),✅ OK,
AutoTSMixerx,Optuna,✅ OK,
AutoTSMixerx,HyperOpt,✅ OK,
AutoTiDE,Basic (Default),✅ OK,
AutoTiDE,Optuna,✅ OK,
AutoTiDE,HyperOpt,✅ OK,
AutoTimeMixer,Basic (Default),✅ OK,
AutoTimeMixer,Optuna,✅ OK,
AutoTimeMixer,HyperOpt,✅ OK,
AutoTimeXer,Basic (Default),✅ OK,
AutoTimeXer,Optuna,✅ OK,
AutoTimeXer,HyperOpt,✅ OK,
AutoTimesNet,Basic (Default),✅ OK,
AutoTimesNet,Optuna,✅ OK,
AutoTimesNet,HyperOpt,✅ OK,
AutoVanillaTransformer,Basic (Default),✅ OK,
AutoVanillaTransformer,Optuna,✅ OK,
AutoVanillaTransformer,HyperOpt,✅ OK,
AutoiTransformer,Basic (Default),✅ OK,
AutoiTransformer,Optuna,✅ OK,
AutoiTransformer,HyperOpt,✅ OK,
AutoxLSTM,Basic (Default),✅ OK,
AutoxLSTM,Optuna,✅ OK,
AutoxLSTM,HyperOpt,✅ OK,
