Path,Type,Arguments,Return_Annotation,Summary (Docstring)
neuralforecast.DistributedConfig,type,"partitions_path, num_nodes, devices",None,"DistributedConfig(partitions_path: str, num_nodes: int, devices: int)"
neuralforecast.NeuralForecast,type,"models, freq, local_scaler_type",,
neuralforecast.common.enums.ExplainerEnum,EnumType,"args, kwds",,str(object='') -> str
neuralforecast.common.enums.TimeSeriesDatasetEnum,EnumType,"args, kwds",,str(object='') -> str
neuralforecast.compat.SparkDataFrame,type,"args, kwargs",,
neuralforecast.core.Autoformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, factor, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, MovingAvg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Autoformer
neuralforecast.core.BaseAuto,type,"cls_model, h, loss, valid_loss, config, search_alg, num_samples, cpus, gpus, refit_with_val, verbose, alias, backend, callbacks",,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to"
neuralforecast.core.BiTCN,type,"h, input_size, hidden_size, dropout, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,BiTCN
neuralforecast.core.DLinear,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, moving_avg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DLinear
neuralforecast.core.DeepAR,type,"h, input_size, h_train, lstm_n_layers, lstm_hidden_size, lstm_dropout, decoder_hidden_layers, decoder_hidden_size, trajectory_samples, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepAR
neuralforecast.core.DeepNPTS,type,"h, input_size, hidden_size, batch_norm, dropout, n_layers, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepNPTS
neuralforecast.core.DilatedRNN,type,"h, input_size, inference_input_size, cell_type, dilations, encoder_hidden_size, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DilatedRNN
neuralforecast.core.DistributedConfig,type,"partitions_path, num_nodes, devices",None,"DistributedConfig(partitions_path: str, num_nodes: int, devices: int)"
neuralforecast.core.ExplainerEnum,EnumType,"args, kwds",,str(object='') -> str
neuralforecast.core.FEDformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, decoder_input_size_multiplier, version, modes, mode_select, hidden_size, dropout, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, MovingAvg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,FEDformer
neuralforecast.core.GRU,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_activation, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,GRU
neuralforecast.core.HuberIQLoss,type,"cos_embedding_dim, concentration0, concentration1, delta, horizon_weight",,Implicit Huber Quantile Loss
neuralforecast.core.IQLoss,type,"cos_embedding_dim, concentration0, concentration1, horizon_weight",,Implicit Quantile Loss.
neuralforecast.core.Informer,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, factor, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, distil, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Informer
neuralforecast.core.KAN,type,"h, input_size, grid_size, spline_order, scale_noise, scale_base, scale_spline, enable_standalone_scale_spline, grid_eps, grid_range, n_hidden_layers, hidden_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, dataloader_kwargs, trainer_kwargs",,KAN
neuralforecast.core.LSTM,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,LSTM
neuralforecast.core.LocalFilesTimeSeriesDataset,type,"files_ds, temporal_cols, id_col, time_col, target_col, last_times, indices, max_size, min_size, y_idx, static, static_cols",,Time series dataset that loads data from local files.
neuralforecast.core.MLP,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, num_layers, hidden_size, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,MLP
